Samples;Time
0;29
1;79
2;79
3;79
4;79
5;78
6;79
7;79
8;79
9;79
10;79
11;78
12;79
13;79
14;79
15;79
16;79
17;79
18;78
19;79
20;79
21;79
22;79
23;79
24;78
25;78
26;79
27;79
28;79
29;79
30;79
31;78
32;79
33;79
34;79
35;79
36;78
37;78
38;79
39;79
40;79
41;79
42;79
43;79
44;77
45;79
46;79
47;79
48;79
49;79
50;78
51;78
52;79
53;79
54;79
55;79
56;79
57;77
58;79
59;79
60;79
61;79
62;78
63;78
64;79
65;79
66;79
67;78
68;79
69;78
70;79
71;78
72;79
73;79
74;79
75;78
76;78
77;79
78;79
79;78
80;79
81;79
82;78
83;78
84;79
85;79
86;79
87;78
88;78
89;79
90;78
91;79
92;79
93;79
94;78
95;78
96;78
97;79
98;79
99;78
100;79
101;78
102;78
103;79
104;78
105;79
106;79
107;77
108;79
109;78
110;79
111;79
112;78
113;78
114;78
115;79
116;78
117;79
118;78
119;78
120;78
121;79
122;78
123;79
124;78
125;78
126;NaN
