Time;Distance
18:52:37.751;15.84
18:52:37.802;15.84
18:52:37.878;15.84
18:52:37.957;15.71
18:52:38.035;15.66
18:52:38.115;15.15
18:52:38.195;15.13
18:52:38.271;15.08
18:52:38.348;15.44
18:52:38.431;15.32
18:52:38.508;15.25
18:52:38.588;15.2
18:52:38.664;14.82
18:52:38.746;14.77
18:52:38.824;15.03
18:52:38.902;14.96
18:52:38.979;14.84
18:52:39.062;14.79
18:52:39.140;14.31
18:52:39.219;14.26
18:52:39.295;14.2
18:52:39.373;14.55
18:52:39.454;14.5
18:52:39.532;14.47
18:52:39.610;13.99
18:52:39.687;13.84
18:52:39.770;13.79
18:52:39.848;14.13
18:52:39.925;14.08
18:52:40.003;13.96
18:52:40.085;13.91
18:52:40.163;13.53
18:52:40.242;13.48
18:52:40.319;13.74
18:52:40.400;13.67
18:52:40.479;13.6
18:52:40.556;13.5
18:52:40.636;13.02
18:52:40.712;13.06
18:52:40.794;13.31
18:52:40.872;13.26
18:52:40.951;13.19
18:52:41.028;13.07
18:52:41.109;13.02
18:52:41.187;13.07
18:52:41.265;12.9
18:52:41.343;12.85
18:52:41.422;12.78
18:52:41.504;12.73
18:52:41.580;12.72
18:52:41.658;12.55
18:52:41.736;12.5
18:52:41.814;12.43
18:52:41.896;12.36
18:52:41.975;12.43
18:52:42.051;12.24
18:52:42.129;12.19
18:52:42.213;12.14
18:52:42.290;12.12
18:52:42.367;12.53
18:52:42.444;11.9
18:52:42.522;11.82
18:52:42.603;11.78
18:52:42.681;11.82
18:52:42.760;11.66
18:52:42.838;12.02
18:52:42.917;11.58
18:52:42.999;11.53
18:52:43.075;11.36
18:52:43.154;11.31
18:52:43.231;11.36
18:52:43.309;11.59
18:52:43.391;11.54
18:52:43.469;11.02
18:52:43.546;11.05
18:52:43.625;10.9
18:52:43.703;10.83
18:52:43.780;11.29
18:52:43.863;11.14
18:52:43.941;10.61
18:52:44.017;10.57
18:52:44.095;10.57
18:52:44.173;10.42
18:52:44.254;10.78
18:52:44.334;10.81
18:52:44.410;10.66
18:52:44.489;10.13
18:52:44.567;10.17
18:52:44.649;10.01
18:52:44.726;10.37
18:52:44.804;10.4
18:52:44.883;10.18
18:52:44.959;9.71
18:52:45.037;9.76
18:52:45.114;9.59
18:52:45.194;10.05
18:52:45.275;9.89
18:52:45.352;9.78
18:52:45.431;9.81
18:52:45.508;9.23
18:52:45.586;9.28
18:52:45.664;9.54
18:52:45.745;9.57
18:52:45.823;9.83
18:52:45.901;9.3
18:52:45.979;8.93
18:52:46.057;8.77
18:52:46.135;8.82
18:52:46.216;9.06
18:52:46.294;9.11
18:52:46.372;8.48
18:52:46.450;8.52
18:52:46.530;8.35
18:52:46.606;8.42
18:52:46.684;8.25
18:52:46.766;8.23
18:52:46.844;8.06
18:52:46.923;8.11
18:52:47.000;7.96
18:52:47.076;7.99
18:52:47.155;7.84
18:52:47.232;7.87
18:52:47.310;7.72
18:52:47.391;8.16
18:52:47.470;7.6
18:52:47.547;7.16
18:52:47.626;NaN
