Time;Distance
16:51:52.548;15.86
16:51:52.596;15.86
16:51:52.671;15.86
16:51:52.754;15.79
16:51:52.833;15.67
16:51:52.909;15.62
16:51:52.991;15.15
16:51:53.069;15.1
16:51:53.147;15.03
16:51:53.224;15.39
16:51:53.308;15.33
16:51:53.385;15.27
16:51:53.462;15.32
16:51:53.540;14.84
16:51:53.623;14.69
16:51:53.700;14.62
16:51:53.778;14.98
16:51:53.856;14.91
16:51:53.933;14.86
16:51:54.017;14.77
16:51:54.094;14.72
16:51:54.170;14.25
16:51:54.249;14.2
16:51:54.330;14.55
16:51:54.409;14.6
16:51:54.486;14.54
16:51:54.564;14.31
16:51:54.646;13.84
16:51:54.723;13.79
16:51:54.802;14.2
16:51:54.882;14.13
16:51:54.961;14.08
16:51:55.039;14.03
16:51:55.116;14.01
16:51:55.195;13.43
16:51:55.276;13.38
16:51:55.355;13.79
16:51:55.432;13.74
16:51:55.511;13.67
16:51:55.590;14.03
16:51:55.670;13.6
16:51:55.747;13.43
16:51:55.826;13.36
16:51:55.903;13.31
16:51:55.985;13.31
16:51:56.063;13.21
16:51:56.142;13.24
16:51:56.219;13.07
16:51:56.297;13.02
16:51:56.378;12.95
16:51:56.458;12.9
16:51:56.535;12.85
16:51:56.612;13.36
16:51:56.696;12.72
16:51:56.773;12.67
16:51:56.849;12.6
16:51:56.927;12.55
16:51:57.005;12.6
16:51:57.087;12.5
16:51:57.164;12.85
16:51:57.244;12.78
16:51:57.321;12.72
16:51:57.398;12.31
16:51:57.481;12.14
16:51:57.558;12.09
16:51:57.636;12.5
16:51:57.714;12.53
16:51:57.793;12.48
16:51:57.875;12.31
16:51:57.953;11.78
16:51:58.029;12.19
16:51:58.107;11.82
16:51:58.189;11.66
16:51:58.267;11.61
16:51:58.344;11.97
16:51:58.423;12
16:51:58.499;11.42
16:51:58.581;11.37
16:51:58.660;11.41
16:51:58.738;11.36
16:51:58.815;11.66
16:51:58.895;11.61
16:51:58.975;11.65
16:51:59.054;11.49
16:51:59.131;11.42
16:51:59.208;10.95
16:51:59.286;11
16:51:59.364;10.85
16:51:59.446;11.25
16:51:59.524;11.29
16:51:59.603;11.14
16:51:59.681;11.07
16:51:59.758;11
16:51:59.839;10.64
16:51:59.917;10.47
16:51:59.996;10.9
16:52:00.074;10.52
16:52:00.151;10.37
16:52:00.233;10.78
16:52:00.310;10.83
16:52:00.388;10.66
16:52:00.466;10.61
16:52:00.544;10.23
16:52:00.621;10.06
16:52:00.704;10.49
16:52:00.781;10.12
16:52:00.859;9.96
16:52:00.938;10.35
16:52:01.015;10.4
16:52:01.098;10.25
16:52:01.175;10.25
16:52:01.254;10.3
16:52:01.330;10.13
16:52:01.408;9.66
16:52:01.486;9.71
16:52:01.564;10.01
16:52:01.645;9.64
16:52:01.725;9.96
16:52:01.802;9.89
16:52:01.879;9.95
16:52:01.957;10.25
16:52:02.038;9.88
16:52:02.113;9.71
16:52:02.195;9.25
16:52:02.272;9.28
16:52:02.350;9.18
16:52:02.429;9.23
16:52:02.507;9.13
16:52:02.584;9.18
16:52:02.665;9.49
16:52:02.743;9.52
16:52:02.821;9.52
16:52:02.899;9.37
16:52:02.978;8.99
16:52:03.055;8.84
16:52:03.133;8.94
16:52:03.214;8.77
16:52:03.292;8.89
16:52:03.370;9.18
16:52:03.448;8.82
16:52:03.527;9.13
16:52:03.604;8.76
16:52:03.685;8.7
16:52:03.763;8.59
16:52:03.841;8.64
16:52:03.918;8.53
16:52:03.997;8.59
16:52:04.075;8.48
16:52:04.153;8.53
16:52:04.234;8.42
16:52:04.311;8.52
16:52:04.389;8.36
16:52:04.467;8.47
16:52:04.545;8.77
16:52:04.623;8.4
16:52:04.701;8.3
16:52:04.782;8.35
16:52:04.861;8.25
16:52:04.938;8.3
16:52:05.017;8.18
16:52:05.095;8.7
16:52:05.172;8.13
16:52:05.250;8.23
16:52:05.328;8.08
16:52:05.411;8.16
16:52:05.487;8.47
16:52:05.567;8.11
16:52:05.643;8.01
16:52:05.721;8.52
16:52:05.801;7.96
16:52:05.878;8.06
16:52:05.958;8.36
16:52:06.038;7.99
16:52:06.115;7.99
16:52:06.192;7.84
16:52:06.270;7.94
16:52:06.349;7.84
16:52:06.426;8.35
16:52:06.505;7.77
16:52:06.586;8.3
16:52:06.664;7.72
16:52:06.741;7.82
16:52:06.818;7.65
16:52:06.896;7.75
16:52:06.975;7.67
16:52:07.052;8.18
16:52:07.134;7.6
16:52:07.213;7.7
16:52:07.290;7.7
16:52:07.369;8.11
16:52:07.446;7.63
16:52:07.523;7.53
16:52:07.602;7.16
16:52:07.680;NaN
