Time;Distance
15:36:46.969;15.86
15:36:47.063;15.84
15:36:47.141;15.37
15:36:47.219;15.81
15:36:47.296;15.74
15:36:47.378;15.61
15:36:47.456;15.15
15:36:47.533;15.15
15:36:47.616;15.52
15:36:47.694;15.37
15:36:47.771;15.33
15:36:47.850;15.27
15:36:47.931;15.22
15:36:48.009;14.65
15:36:48.086;14.67
15:36:48.165;14.62
15:36:48.246;14.98
15:36:48.324;14.84
15:36:48.402;14.84
15:36:48.480;14.43
15:36:48.561;14.28
15:36:48.639;14.13
15:36:48.718;14.48
15:36:48.794;14.5
15:36:48.873;14.45
15:36:48.955;14.25
15:36:49.033;13.86
15:36:49.111;13.8
15:36:49.189;14.26
15:36:49.271;14.2
15:36:49.348;13.94
15:36:49.426;13.97
15:36:49.505;13.92
15:36:49.586;13.86
15:36:49.663;13.72
15:36:49.742;13.62
15:36:49.820;13.74
15:36:49.899;13.67
15:36:49.979;13.52
15:36:50.057;13.45
15:36:50.136;13.31
15:36:50.212;13.33
15:36:50.294;13.69
15:36:50.371;13.18
15:36:50.450;13.19
15:36:50.528;13.04
15:36:50.611;12.97
15:36:50.687;12.84
15:36:50.765;12.85
15:36:50.843;13.31
15:36:50.921;12.68
15:36:51.003;12.61
15:36:51.080;12.48
15:36:51.158;12.51
15:36:51.236;12.55
15:36:51.314;12.8
15:36:51.396;12.73
15:36:51.475;12.22
15:36:51.551;12.16
15:36:51.630;12.19
15:36:51.712;12.04
15:36:51.789;12.29
15:36:51.869;12.33
15:36:51.945;11.9
15:36:52.024;11.76
15:36:52.106;11.68
15:36:52.182;11.54
15:36:52.260;12.07
15:36:52.338;12.02
15:36:52.416;11.87
15:36:52.497;11.32
15:36:52.577;11.36
15:36:52.655;11.2
15:36:52.733;11.61
15:36:52.808;11.51
15:36:52.891;11.54
15:36:52.970;11.37
15:36:53.048;11.32
15:36:53.126;11.27
15:36:53.204;11.31
15:36:53.284;11.14
15:36:53.362;11.02
15:36:53.441;11.07
15:36:53.517;10.49
15:36:53.596;10.42
15:36:53.673;10.9
15:36:53.755;10.83
15:36:53.833;11
15:36:53.911;10.13
15:36:53.988;10.18
15:36:54.068;10.01
15:36:54.149;10.06
15:36:54.226;10.42
15:36:54.305;10.25
15:36:54.381;9.83
15:36:54.455;9.66
15:36:54.533;9.61
15:36:54.615;9.66
15:36:54.693;9.49
15:36:54.771;9.86
15:36:54.850;9.32
15:36:54.927;9.25
15:36:55.006;9.3
15:36:55.087;9.15
15:36:55.164;9.16
15:36:55.242;9.01
15:36:55.321;9.47
15:36:55.398;8.76
15:36:55.477;8.81
15:36:55.552;9.2
15:36:55.636;8.65
15:36:55.713;8.7
15:36:55.790;8.47
15:36:55.869;8.59
15:36:55.946;8.43
15:36:56.026;8.4
15:36:56.103;8.31
15:36:56.184;8.76
15:36:56.261;8.14
15:36:56.340;8.18
15:36:56.417;8.02
15:36:56.495;8.06
15:36:56.573;7.91
15:36:56.651;7.94
15:36:56.733;7.79
15:36:56.810;7.82
15:36:56.888;7.58
15:36:56.966;7.7
15:36:57.045;7.09
15:36:57.122;NaN
