Time;Distance
16:47:31.960;15.84
16:47:32.009;15.86
16:47:32.086;15.86
16:47:32.165;15.73
16:47:32.243;15.67
16:47:32.324;15.2
16:47:32.402;15.15
16:47:32.479;15.08
16:47:32.557;15.2
16:47:32.639;15.59
16:47:32.717;15.44
16:47:32.794;15.37
16:47:32.874;15.27
16:47:32.955;15.2
16:47:33.033;14.74
16:47:33.110;14.67
16:47:33.189;15.08
16:47:33.270;14.62
16:47:33.348;15.03
16:47:33.425;14.98
16:47:33.505;14.91
16:47:33.586;14.84
16:47:33.665;14.79
16:47:33.741;14.42
16:47:33.820;14.26
16:47:33.902;14.2
16:47:33.978;14.21
16:47:34.058;14.55
16:47:34.136;14.55
16:47:34.217;14.43
16:47:34.294;14.38
16:47:34.373;14.31
16:47:34.450;13.96
16:47:34.531;13.89
16:47:34.610;14.14
16:47:34.687;14.14
16:47:34.766;14.09
16:47:34.843;14.03
16:47:34.926;13.97
16:47:35.003;13.91
16:47:35.081;13.86
16:47:35.158;13.89
16:47:35.243;13.74
16:47:35.319;13.67
16:47:35.395;13.62
16:47:35.474;13.55
16:47:35.555;13.5
16:47:35.633;13.5
16:47:35.712;13.48
16:47:35.790;13.31
16:47:35.867;13.26
16:47:35.949;13.19
16:47:36.026;13.14
16:47:36.105;13.07
16:47:36.182;13.12
16:47:36.266;12.97
16:47:36.341;12.9
16:47:36.422;12.84
16:47:36.499;13.26
16:47:36.575;13.31
16:47:36.657;13.24
16:47:36.735;12.61
16:47:36.812;12.55
16:47:36.891;12.5
16:47:36.968;12.6
16:47:37.051;12.43
16:47:37.128;12.85
16:47:37.208;12.72
16:47:37.284;12.26
16:47:37.366;12.29
16:47:37.445;12.14
16:47:37.521;12.14
16:47:37.601;12.09
16:47:37.677;12.19
16:47:37.759;12.12
16:47:37.837;12.38
16:47:37.915;12.33
16:47:37.993;12.26
16:47:38.071;11.88
16:47:38.153;11.73
16:47:38.230;11.66
16:47:38.309;12.07
16:47:38.385;11.71
16:47:38.464;11.95
16:47:38.546;11.9
16:47:38.623;11.9
16:47:38.701;11.95
16:47:38.779;11.78
16:47:38.857;11.32
16:47:38.939;11.66
16:47:39.018;11.71
16:47:39.094;11.61
16:47:39.173;11.54
16:47:39.250;11.59
16:47:39.332;11.54
16:47:39.411;11.37
16:47:39.487;10.9
16:47:39.566;10.95
16:47:39.645;10.78
16:47:39.727;10.78
16:47:39.802;11.71
16:47:39.881;11.24
16:47:39.959;11.08
16:47:40.036;11.02
16:47:40.118;10.66
16:47:40.196;10.97
16:47:40.274;10.49
16:47:40.351;10.59
16:47:40.429;10.42
16:47:40.507;10.85
16:47:40.590;10.88
16:47:40.667;10.73
16:47:40.745;10.66
16:47:40.824;10.71
16:47:40.901;10.22
16:47:40.984;10.08
16:47:41.060;10.59
16:47:41.137;10.03
16:47:41.216;10.01
16:47:41.293;10.06
16:47:41.371;10.37
16:47:41.454;10.32
16:47:41.532;10.35
16:47:41.609;10.18
16:47:41.688;10.13
16:47:41.766;10.18
16:47:41.843;9.61
16:47:41.921;10.03
16:47:42.003;9.66
16:47:42.079;9.49
16:47:42.158;9.95
16:47:42.236;9.84
16:47:42.313;9.84
16:47:42.392;9.4
16:47:42.473;9.71
16:47:42.552;9.35
16:47:42.629;9.67
16:47:42.708;9.3
16:47:42.786;9.13
16:47:42.862;9.54
16:47:42.942;9.18
16:47:43.022;9.08
16:47:43.100;9.52
16:47:43.178;9.42
16:47:43.255;9.06
16:47:43.334;8.89
16:47:43.411;8.94
16:47:43.493;8.84
16:47:43.571;8.94
16:47:43.648;8.77
16:47:43.726;8.87
16:47:43.804;8.72
16:47:43.882;8.7
16:47:43.961;8.76
16:47:44.042;8.65
16:47:44.119;9.18
16:47:44.198;8.6
16:47:44.275;8.65
16:47:44.353;8.48
16:47:44.432;8.99
16:47:44.509;8.43
16:47:44.591;8.53
16:47:44.670;8.36
16:47:44.747;8.42
16:47:44.826;8.72
16:47:44.902;8.35
16:47:44.980;8.65
16:47:45.057;8.7
16:47:45.139;8.14
16:47:45.218;8.16
16:47:45.295;8.01
16:47:45.373;8.11
16:47:45.450;7.96
16:47:45.528;8.06
16:47:45.608;7.96
16:47:45.688;8.47
16:47:45.766;7.89
16:47:45.844;7.99
16:47:45.922;7.84
16:47:46.000;7.87
16:47:46.077;7.72
16:47:46.155;7.82
16:47:46.234;8.13
16:47:46.317;7.77
16:47:46.394;7.65
16:47:46.471;7.7
16:47:46.548;7.7
16:47:46.626;8.01
16:47:46.704;7.63
16:47:46.782;7.55
16:47:46.860;7.58
16:47:46.942;7.89
16:47:47.020;7.53
16:47:47.099;7.43
16:47:47.175;7.46
16:47:47.254;7.77
16:47:47.330;7.41
16:47:47.408;7.34
16:47:47.491;7.36
16:47:47.568;7.77
16:47:47.646;7.17
16:47:47.724;NaN
