7.0,7.0, 7.11, 7.12, 7.11, 7.11, 7.02, 7.02, 7.12, 7.12, 7.12, 7.12, 7.0, 7.0, 7.11, 7.11, 7.11, 7.12, 7.0, 7.02, 7.11, 7.11, 7.12, 7.11, 7.02, 7.0, 7.11, 7.11, 7.12, 7.12, 7.0, 7.02, 7.11, 7.11, 7.12, 7.11, 7.02, 7.0, 7.11, 7.12, 7.12, 7.11, 7.02, 7.0, 7.11, 7.11, 7.12, 7.0, 7.0, 7.02, 7.12, 7.11, 7.12, 7.02, 7.02, 7.02, 7.11, 7.11, 7.12, 7.0, 7.02, 7.0, 7.12, 7.11, 7.12, 7.0, 7.0, 7.0, 7.11, 7.11, 7.12, 7.02, 7.0, 7.02, 7.12, 7.12, 7.11, 7.0, 7.0, 7.0, 7.11, 7.12, 7.12, 7.0, 7.02, 7.02, 7.11, 7.12, 7.12, 7.0, 7.02, 7.0, 7.11, 7.11, 7.11, 7.02, 7.0, 7.0, 7.12, 7.12, 7.12,0.05
7.5,7.46, 7.46, 7.46, 7.36, 7.36, 7.38, 7.48, 7.46, 7.48, 7.36, 7.36, 7.46, 7.46, 7.46, 7.36, 7.36, 7.48, 7.46, 7.48, 7.36, 7.36, 7.36, 7.46, 7.48, 7.48, 7.36, 7.36, 7.46, 7.48, 7.46, 7.36, 7.36, 7.46, 7.46, 7.46, 7.36, 7.36, 7.36, 7.46, 7.48, 7.48, 7.36, 7.36, 7.46, 7.46, 7.48, 7.36, 7.38, 7.46, 7.48, 7.48, 7.36, 7.36, 7.36, 7.48, 7.46, 7.46, 7.36, 7.36, 7.46, 7.46, 7.46, 7.36, 7.36, 7.46, 7.46, 7.48, 7.36, 7.36, 7.46, 7.46, 7.46, 7.46, 7.36, 7.36, 7.46, 7.46, 7.46, 7.38, 7.36, 7.46, 7.46, 7.46, 7.36, 7.36, 7.46, 7.46, 7.48, 7.36, 7.36, 7.36, 7.46, 7.48, 7.46, 7.36, 7.36, 7.46, 7.46, 7.46, 7.36,0.05
8.0,8.01, 8.01, 7.99, 7.91, 7.89, 7.99, 7.99, 7.89, 7.89, 7.91, 7.99, 7.99, 7.91, 7.89, 7.99, 7.99, 8.01, 7.89, 7.89, 7.99, 8.01, 7.89, 7.89, 7.89, 8.01, 8.01, 7.91, 7.89, 8.01, 8.01, 7.99, 7.89, 7.91, 8.01, 7.99, 7.89, 7.91, 7.99, 8.01, 8.01, 7.91, 7.89, 8.01, 7.99, 7.91, 7.91, 7.97, 8.01, 7.99, 7.89, 7.89, 7.99, 7.99, 8.01, 7.91, 7.91, 7.99, 7.99, 7.89, 7.89, 8.01, 8.01, 8.01, 7.89, 7.91, 7.99, 7.99, 7.91, 7.89, 7.99, 8.01, 8.01, 7.91, 7.91, 7.99, 8.01, 7.99, 7.91, 7.91, 7.99, 8.01, 7.91, 7.89, 7.99, 8.01, 7.99, 7.91, 7.91, 7.99, 8.01, 7.89, 7.89, 7.99, 7.99, 7.99, 7.89, 7.91, 8.01, 8.01, 7.99,0.05
8.5,8.53, 8.53, 8.43, 8.43, 8.53, 8.53, 8.43, 8.42, 8.53, 8.53, 8.43, 8.42, 8.53, 8.52, 8.43, 8.42, 8.53, 8.53, 8.42, 8.43, 8.53, 8.53, 8.43, 8.42, 8.53, 8.53, 8.42, 8.43, 8.53, 8.53, 8.43, 7.96, 8.53, 8.53, 8.43, 8.43, 8.52, 8.53, 8.43, 8.43, 8.06, 8.53, 8.43, 8.43, 8.52, 8.53, 8.42, 8.43, 8.53, 8.06, 8.43, 8.43, 8.53, 8.53, 8.43, 8.43, 8.06, 8.06, 8.53, 8.43, 7.96, 8.53, 8.53, 8.43, 8.42, 8.53, 8.53, 8.43, 7.96, 8.52, 8.52, 8.42, 8.43, 8.53, 8.52, 8.42, 8.43, 8.53, 8.53, 8.43, 8.43, 8.06, 8.06, 8.42, 8.43, 8.53, 8.52, 8.43, 8.42, 8.53, 8.52, 8.43, 8.43, 8.52, 8.52, 8.43, 8.42, 8.52, 8.52, 8.43,0.14
9.0,8.96, 9.54, 9.54, 9.42, 9.44, 9.52, 9.42, 9.44, 9.54, 9.44, 9.44, 9.54, 9.52, 9.01, 9.01, 9.11, 9.01, 9.42, 9.11, 9.54, 9.44, 9.42, 9.54, 9.42, 9.42, 9.54, 9.44, 9.42, 9.54, 9.54, 9.44, 9.54, 9.54, 9.44, 9.44, 9.52, 9.42, 9.44, 9.54, 9.44, 9.42, 9.54, 9.54, 9.44, 9.11, 9.54, 9.01, 9.44, 9.54, 9.01, 9.44, 9.54, 9.54, 9.01, 9.08, 9.54, 9.01, 9.42, 9.54, 9.44, 9.44, 9.54, 9.52, 9.01, 9.44, 9.52, 9.44, 9.42, 9.54, 9.42, 9.44, 9.11, 9.11, 9.44, 9.11, 9.11, 9.42, 9.01, 9.11, 9.44, 9.01, 9.11, 9.52, 9.01, 9.42, 9.11, 9.01, 9.01, 9.11, 9.11, 9.01, 9.01, 9.11, 9.01, 9.01, 9.11, 9.11, 9.03, 9.44, 9.13,0.21
9.5,9.93, 9.42, 9.54, 9.52, 9.44, 9.44, 9.52, 9.44, 9.84, 9.52, 9.44, 9.44, 9.54, 9.54, 9.44, 9.54, 9.54, 9.44, 9.44, 9.54, 9.44, 9.44, 9.52, 9.42, 9.44, 9.54, 9.54, 9.42, 9.54, 9.54, 9.44, 9.44, 9.54, 9.42, 9.44, 9.52, 9.44, 9.44, 9.52, 9.54, 9.42, 9.54, 9.52, 9.42, 9.44, 9.54, 9.44, 9.44, 9.52, 9.44, 9.44, 9.54, 9.54, 9.44, 9.54, 9.52, 9.44, 9.44, 9.54, 9.44, 9.44, 9.54, 9.44, 9.44, 9.54, 9.95, 9.84, 9.54, 9.52, 9.42, 9.84, 9.52, 9.44, 9.44, 9.95, 9.84, 9.84, 9.95, 9.84, 9.84, 9.52, 9.44, 9.84, 9.95, 9.84, 9.84, 9.95, 9.44, 9.84, 9.54, 9.54, 9.42, 9.54, 9.54, 9.44, 9.44, 9.95, 9.42, 9.84, 9.95,0.17
10.0,9.55, 9.55, 9.66, 9.55, 9.55, 9.66, 9.54, 9.55, 9.66, 9.64, 9.55, 9.64, 9.66, 9.55, 9.66, 9.66, 9.55, 9.55, 9.66, 9.54, 9.55, 9.66, 9.54, 9.55, 9.66, 9.55, 9.55, 9.66, 9.66, 9.55, 9.66, 9.66, 9.54, 9.54, 9.66, 9.54, 9.55, 9.64, 9.55, 9.55, 9.64, 9.55, 9.55, 9.66, 9.66, 9.55, 9.64, 9.66, 9.55, 9.55, 9.66, 9.55, 9.55, 9.66, 9.55, 9.54, 9.64, 9.54, 9.55, 9.66, 9.59, 9.55, 9.66, 9.64, 9.54, 9.64, 9.66, 9.55, 9.55, 9.66, 9.55, 9.55, 9.66, 9.54, 9.55, 9.64, 9.55, 9.54, 9.66, 9.66, 9.54, 9.66, 9.66, 9.54, 9.66, 9.66, 9.55, 9.54, 9.66, 9.54, 9.55, 9.64, 9.55, 9.55, 9.66, 9.55, 9.54, 9.66, 9.64, 9.54,0.05
10.5,10.47, 10.37, 10.47, 10.37, 10.37, 10.49, 10.37, 10.47, 10.37, 10.37, 10.47, 10.37, 10.47, 10.37, 10.37, 10.47, 10.37, 10.47, 10.37, 10.37, 10.47, 10.37, 10.47, 10.37, 10.46, 10.39, 10.37, 10.47, 10.37, 10.47, 10.37, 10.37, 10.47, 10.37, 10.47, 10.37, 10.37, 10.47, 10.39, 10.47, 10.37, 10.37, 10.47, 10.37, 10.47, 10.39, 10.37, 10.47, 10.37, 10.47, 10.37, 10.37, 10.47, 10.37, 10.47, 10.37, 10.39, 10.47, 10.37, 10.47, 10.37, 10.4, 10.37, 10.37, 10.47, 10.37, 10.47, 10.37, 10.37, 10.47, 10.37, 10.47, 10.37, 10.37, 10.47, 10.37, 10.47, 10.39, 10.37, 10.49, 10.37, 10.47, 10.37, 10.37, 10.49, 10.39, 10.47, 10.37, 10.39, 10.47, 10.37, 10.47, 10.37, 10.37, 10.47, 10.37, 10.47, 10.37, 10.42, 10.37,0.05
11.0,11.07, 10.97, 11.07, 10.97, 10.95, 10.95, 10.97, 11.07, 10.97, 11.07, 10.97, 10.95, 10.97, 10.97, 11.07, 10.97, 11.07, 10.97, 11.07, 10.97, 10.95, 11.05, 10.95, 11.05, 10.95, 11.07, 10.95, 10.97, 10.97, 10.97, 11.05, 10.97, 11.07, 10.97, 11.07, 10.95, 10.97, 11.07, 10.97, 11.07, 10.95, 11.07, 10.97, 10.97, 10.97, 10.97, 11.07, 10.95, 11.07, 10.97, 11.02, 10.97, 10.97, 11.07, 10.97, 11.05, 10.95, 11.07, 10.95, 10.97, 11.02, 10.97, 11.07, 10.95, 11.07, 10.97, 10.97, 10.97, 10.95, 11.07, 10.97, 11.07, 10.97, 11.07, 10.97, 10.97, 10.95, 10.97, 11.07, 10.97, 11.07, 10.97, 11.05, 10.95, 10.97, 11.07, 10.97, 11.05, 10.97, 11.07, 10.97, 10.97, 11.07, 10.97, 11.07, 10.97, 11.07, 10.97, 10.97, 10.97,0.05
11.5,11.37, 11.37, 11.44, 11.37, 11.53, 11.42, 11.53, 11.42, 11.53, 11.42, 11.53, 11.44, 11.48, 11.42, 11.37, 11.37, 11.42, 11.42, 11.42, 11.54, 11.37, 11.48, 11.37, 11.48, 11.42, 11.54, 11.42, 11.42, 11.44, 11.37, 11.37, 11.42, 11.54, 11.42, 11.48, 11.37, 11.48, 11.37, 11.54, 11.42, 11.53, 11.44, 11.42, 11.42, 11.42, 11.48, 11.37, 11.48, 11.37, 11.48, 11.44, 11.53, 11.37, 11.53, 11.39, 11.37, 11.37, 11.37, 11.49, 11.37, 11.48, 11.37, 11.48, 11.37, 11.49, 11.37, 11.54, 11.37, 11.37, 11.44, 11.42, 11.37, 11.37, 11.48, 11.37, 11.48, 11.42, 11.53, 11.37, 11.48, 11.44, 11.37, 11.42, 11.44, 11.37, 11.37, 11.53, 11.42, 11.48, 11.37, 11.48, 11.36, 11.53, 11.37, 11.37, 11.37, 11.42, 11.36, 11.37, 11.48,0.06
